0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,73,100,62,77,65,82,84,77,58,58,63,90,64,72,84,69,83,74,95,60,74,89,69,50,86,65,99,79,83
73,0,85,85,80,58,67,52,71,89,94,71,95,66,65,61,59,92,59,68,97,65,62,72,70,80,93,72,70,62
100,85,0,93,50,63,54,87,68,66,67,68,80,51,84,86,52,78,92,69,73,72,93,82,84,82,57,55,66,84
62,85,93,0,64,67,65,60,54,91,91,69,68,86,54,55,73,82,96,67,56,76,88,53,74,95,81,58,51,82
77,80,50,64,0,58,56,87,52,90,53,98,62,77,54,86,59,60,96,85,69,100,85,80,91,70,95,72,54,68
65,58,63,67,58,0,77,79,73,80,79,56,61,52,66,52,84,93,56,55,63,77,98,79,86,97,66,84,87,62
82,67,54,65,56,77,0,65,87,87,68,87,99,71,77,59,73,70,52,68,53,73,71,75,63,61,84,86,92,76
84,52,87,60,87,79,65,0,75,50,84,65,80,96,91,93,50,88,93,58,55,78,65,88,52,77,92,88,97,66
77,71,68,54,52,73,87,75,0,63,56,85,70,82,97,88,60,86,76,86,75,72,91,63,65,67,87,61,86,99
58,89,66,91,90,80,87,50,63,0,61,71,87,63,77,76,70,73,96,82,90,58,82,65,57,63,75,74,53,68
58,94,67,91,53,79,68,84,56,61,0,68,75,69,52,70,64,81,92,69,99,53,66,99,77,60,56,75,81,86
63,71,68,69,98,56,87,65,85,71,68,0,98,88,57,51,55,65,54,54,58,67,70,79,97,66,76,99,81,52
90,95,80,68,62,61,99,80,70,87,75,98,0,81,100,97,69,75,62,98,51,91,53,72,88,67,80,89,89,91
64,66,51,86,77,52,71,96,82,63,69,88,81,0,88,59,95,84,64,98,92,50,93,79,98,76,59,52,54,92
72,65,84,54,54,66,77,91,97,77,52,57,100,88,0,57,89,98,93,80,98,62,93,62,78,61,64,63,62,56
84,61,86,55,86,52,59,93,88,76,70,51,97,59,57,0,69,95,65,57,92,59,96,60,80,52,79,100,86,89
69,59,52,73,59,84,73,50,60,70,64,55,69,95,89,69,0,53,71,92,87,53,99,100,83,60,50,66,50,97
83,92,78,82,60,93,70,88,86,73,81,65,75,84,98,95,53,0,93,84,71,53,83,65,61,57,58,67,69,51
74,59,92,96,96,56,52,93,76,96,92,54,62,64,93,65,71,93,0,52,52,80,67,50,75,86,95,72,74,65
95,68,69,67,85,55,68,58,86,82,69,54,98,98,80,57,92,84,52,0,79,66,52,54,62,56,68,89,57,84
60,97,73,56,69,63,53,55,75,90,99,58,51,92,98,92,87,71,52,79,0,50,70,79,91,69,78,96,100,66
74,65,72,76,100,77,73,78,72,58,53,67,91,50,62,59,53,53,80,66,50,0,55,56,92,89,90,51,79,53
89,62,93,88,85,98,71,65,91,82,66,70,53,93,93,96,99,83,67,52,70,55,0,58,77,61,51,63,87,84
69,72,82,53,80,79,75,88,63,65,99,79,72,79,62,60,100,65,50,54,79,56,58,0,55,56,99,99,50,88
50,70,84,74,91,86,63,52,65,57,77,97,88,98,78,80,83,61,75,62,91,92,77,55,0,77,73,82,90,96
86,80,82,95,70,97,61,77,67,63,60,66,67,76,61,52,60,57,86,56,69,89,61,56,77,0,51,79,82,78
65,93,57,81,95,66,84,92,87,75,56,76,80,59,64,79,50,58,95,68,78,90,51,99,73,51,0,100,84,91
99,72,55,58,72,84,86,88,61,74,75,99,89,52,63,100,66,67,72,89,96,51,63,99,82,79,100,0,62,50
79,70,66,51,54,87,92,97,86,53,81,81,89,54,62,86,50,69,74,57,100,79,87,50,90,82,84,62,0,85
83,62,84,82,68,62,76,66,99,68,86,52,91,92,56,89,97,51,65,84,66,53,84,88,96,78,91,50,85,0
